ID,nom,departement,ville,CP,type
0783069M,Ecole maternelle Les Alouettes,78,Carrières-sur-Seine,78420,primaire
0783070N,Ecole maternelle Montebello,78,Maisons-Laffitte,78600,primaire
0783071P,Ecole maternelle Jean Cocteau,78,Maisons-Laffitte,78600,primaire
0783076V,Ecole maternelle Jean Mermoz,78,Vélizy-Villacoublay,78140,primaire
0783077W,Ecole maternelle Henri Wallon,78,Trappes,78190,primaire
0783080Z,Ecole maternelle Paul Langevin,78,Saint-Cyr-l'École,78210,primaire
0783086F,Ecole maternelle Docteur Schweitzer,78,Marly-le-Roi,78160,primaire
0783087G,Ecole maternelle Jean Macé,78,Limay,78520,primaire
0783089J,Ecole maternelle Fin d'Oise,78,Andrésy,78570,primaire
0783090K,Ecole maternelle Chevrefeuilles,78,Villennes-sur-Seine,78670,primaire
0783114L,Ecole élémentaire Le Parc,78,Andrésy,78570,primaire
0783115M,Ecole élémentaire La Source,78,Verneuil-sur-Seine,78480,primaire
0783140P,Lycée général et technologique Mansart,78,Saint-Cyr-l'École,78210,secondaire
0783156G,Collège Jean Cocteau,78,Maisons-Laffitte,78600,secondaire
0783162N,Ecole élémentaire Jacques Prévert,78,Carrières-sur-Seine,78420,primaire
0783197B,Ecole maternelle Marc Chagall,78,Bois-d'Arcy,78390,primaire
0783198C,Ecole élémentaire Henri Dunant,78,La-Celle-Saint-Cloud,78170,primaire
0783199D,Ecole maternelle Henri Dunant,78,La-Celle-Saint-Cloud,78170,primaire
0783200E,Ecole élémentaire Paul Eluard,78,Les-Clayes-sous-Bois,78340,primaire
0783201F,Ecole maternelle Léon Frapie,78,Houilles,78800,primaire
0783202G,Ecole maternelle Bourget Calmette,78,Jouy-en-Josas,78350,primaire
0783203H,Ecole maternelle Les Anémones,78,Mantes-la-Jolie,78200,primaire
0783206L,Ecole maternelle Robert Desnos,78,Saint-Cyr-l'École,78210,primaire
0783207M,Ecole maternelle Saint-Exupéry,78,Saint-Rémy-lès-Chevreuse,78470,primaire
0783208N,Ecole maternelle Madame de Sévigné,78,Sartrouville,78500,primaire
0783210R,Ecole élémentaire Louis Aragon,78,Trappes,78190,primaire
0783211S,Ecole élémentaire Fronval,78,Vélizy-Villacoublay,78140,primaire
0783212T,Ecole maternelle Fronval,78,Vélizy-Villacoublay,78140,primaire
0783213U,Ecole régionale du premier degré Heriot,78,La-Boissière-École,78125,primaire
0783214V,"Lycée professionnel Lucien René Duchesne, lycée des métiers de l'automoblie",78,La-Celle-Saint-Cloud,78170,secondaire
